"run_id","transport_mode","workload_source","workload_descriptor","profile","expected_messages","payload_bytes","concurrency","target_messages_per_second","transformer_work_iterations","sink_process_delay_ms","max_retry_attempts","retry_backoff_ms","failure_action","failure_target","failure_after_seconds","producer_retry_attempts","producer_stream_reconnects","producer_recovery_events","producer_avg_recovery_ms","producer_max_recovery_ms","unary_acknowledged_requests","throughput_messages_per_second","throughput_megabytes_per_second","duration_seconds","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms","mean_inter_arrival_ms","p95_inter_arrival_ms","inter_arrival_jitter_ms","messages_received","bytes_received","duplicates","ordering_violations","completion_ratio","lost_messages","duplicate_ratio","estimated_failure_at_unix_nano","time_to_first_post_failure_message_ms","e2e_recovery_ms","sustained_target_recovered","backlog_drain_ms","recovery_window_p95_latency_ms","throughput_debt_messages","post_failure_duplicates","post_failure_duplicate_ratio","producer_cpu_avg_pct","producer_cpu_peak_pct","producer_memory_avg_mib","producer_memory_peak_mib","producer_samples","transformer_cpu_avg_pct","transformer_cpu_peak_pct","transformer_memory_avg_mib","transformer_memory_peak_mib","transformer_samples","sink_cpu_avg_pct","sink_cpu_peak_pct","sink_memory_avg_mib","sink_memory_peak_mib","sink_samples","rabbitmq_cpu_avg_pct","rabbitmq_cpu_peak_pct","rabbitmq_memory_avg_mib","rabbitmq_memory_peak_mib","rabbitmq_samples","nats_cpu_avg_pct","nats_cpu_peak_pct","nats_memory_avg_mib","nats_memory_peak_mib","nats_samples","kafka_cpu_avg_pct","kafka_cpu_peak_pct","kafka_memory_avg_mib","kafka_memory_peak_mib","kafka_samples","resource_stats_valid","missing_resource_roles","resource_stats_missing_roles","repeat_count"
"single3-final-20260504-synthetic-clean-stream-p256-c4","client-streaming","synthetic","synthetic","bulk","20000","256","4","0","0","0","0","500","","","0","0","0","0","0","0","0","87932.6723420734","21.467937583514","0.229476024333333","35.0604863333333","92.308786","110.816085","113.181193333333","0.00727902298448281","0.00290333333333333","0.442412141983333","20000","5120000","0","0","1","0","0","","","","","","","","0","","","","","","0","0.433333333333333","0.433333333333333","2","2","4.33333333333333","0.5","0.5","2","2","4.33333333333333","","","","","0","","","","","0","","","","","0","True","","","3"
"single3-final-20260504-synthetic-clean-stream-p256-c8","client-streaming","synthetic","synthetic","bulk","20000","256","8","0","0","0","0","500","","","0","0","0","0","0","0","0","83838.3575952734","20.4683490222835","0.239795397666667","40.3250506666667","80.1891546666667","88.7430666666667","96.3975903333333","0.00833448267413378","0.003566","0.561868915091783","20000","5120000","0","0","1","0","0","","","","","","","","0","","","","","","0","0.5","0.5","2","2","4.33333333333333","0.533333333333333","0.533333333333333","2","2","4.33333333333333","","","","","0","","","","","0","","","","","0","True","","","3"
"single3-final-20260504-synthetic-clean-stream-p4096-c1","client-streaming","synthetic","synthetic","bulk","20000","4096","1","0","0","0","0","500","","","0","0","0","0","0","0","0","26402.8676749794","103.136201855388","0.760162813333333","2.03643833333333","28.5979956666667","58.3523416666667","61.0358726666667","0.0346427601213394","0.0313886666666667","0.900259697808946","20000","81920000","0","0","1","0","0","","","","","","","","0","","","","","","0","0.5","0.5","2.33333333333333","2.33333333333333","5","0.533333333333333","0.533333333333333","2.33333333333333","2.33333333333333","5","","","","","0","","","","","0","","","","","0","True","","","3"
"single3-final-20260504-synthetic-clean-stream-p4096-c16","client-streaming","synthetic","synthetic","bulk","20000","4096","16","0","0","0","0","500","","","0","0","0","0","0","0","0","22402.2817606209","87.5089131274253","0.892894286666667","125.677367333333","231.940582333333","312.435654","330.682426333333","0.0409093797023197","0.0258046666666667","1.27759487003629","20000","81920000","0","0","1","0","0","","","","","","","","0","","","","","","0","0.566666666666667","0.566666666666667","2","2","4.66666666666667","0.466666666666667","0.466666666666667","2.33333333333333","2.33333333333333","4.66666666666667","","","","","0","","","","","0","","","","","0","True","","","3"
"single3-final-20260504-synthetic-clean-stream-p4096-c4","client-streaming","synthetic","synthetic","bulk","20000","4096","4","0","0","0","0","500","","","0","0","0","0","0","0","0","28233.6376030268","110.287646886823","0.710073094","24.137839","86.9264083333333","103.968686","129.893695666667","0.0322955566945023","0.015985","0.882665248509398","20000","81920000","0","0","1","0","0","","","","","","","","0","","","","","","0","0.5","0.5","2","2","4.66666666666667","0.533333333333333","0.533333333333333","2","2","4.66666666666667","","","","","0","","","","","0","","","","","0","True","","","3"
"single3-final-20260504-synthetic-clean-stream-p4096-c8","client-streaming","synthetic","synthetic","bulk","20000","4096","8","0","0","0","0","500","","","0","0","0","0","0","0","0","24826.1899393925","96.9773044507518","0.810464722333333","97.46474","187.807823666667","196.3299","216.385822333333","0.0370605929796483","0.023124","1.21165500188351","20000","81920000","0","0","1","0","0","","","","","","","","0","","","","","","0","0.5","0.5","2.33333333333333","2.33333333333333","5","0.5","0.5","2","2","5","","","","","0","","","","","0","","","","","0","True","","","3"
"single3-final-20260504-synthetic-clean-unary-p1024-c1","unary","synthetic","synthetic","bulk","20000","1024","1","0","0","0","0","500","","","0","0","0","0","0","0","20000","933.931416461748","0.912042398888426","21.4618400523333","0.347097666666667","0.973498","5.075125","44.378779","1.14933643435505","1.95582166666667","2.98923959511107","20000","20480000","0","0","1","0","0","","","","","","","","0","","31.2","31.2","7","7","3.66666666666667","4.34728260869565","18.1666666666667","4.18599033816425","5.66666666666667","23","4.68888888888889","16.0666666666667","3.73611111111111","5.33333333333333","23","","","","","0","","","","","0","","","","","0","True","","","3"
"single3-final-20260504-synthetic-clean-unary-p1024-c16","unary","synthetic","synthetic","bulk","20000","1024","16","0","0","0","0","500","","","0","0","0","0","0","0","20000","7075.24096865327","6.90941500845046","3.03412959333333","0.619552666666667","2.39115166666667","47.2857773333333","62.3263336666667","0.199793406386987","0.570928","2.24078049946824","20000","20480000","0","0","1","0","0","","","","","","","","0","","","","","","0","0.366666666666667","0.366666666666667","2.33333333333333","2.33333333333333","7.66666666666667","0.366666666666667","0.366666666666667","2.33333333333333","2.33333333333333","7.66666666666667","","","","","0","","","","","0","","","","","0","True","","","3"
"single3-final-20260504-synthetic-clean-unary-p1024-c4","unary","synthetic","synthetic","bulk","20000","1024","4","0","0","0","0","500","","","0","0","0","0","0","0","20000","2723.51733334517","2.65968489584489","7.49102201333333","0.452039666666667","1.376869","8.616465","51.056955","0.422896862876479","1.05981833333333","2.4967804993829","20000","20480000","0","0","1","0","0","","","","","","","","0","","","","","","0","0.3","0.3","2","2","11","0","0","2","2","11","","","","","0","","","","","0","","","","","0","True","","","3"
"single3-final-20260504-synthetic-clean-unary-p1024-c8","unary","synthetic","synthetic","bulk","20000","1024","8","0","0","0","0","500","","","0","0","0","0","0","0","20000","4026.0850515222","3.93172368312715","5.03725536766667","0.514807666666667","1.91480833333333","27.1081053333333","54.401426","0.275135562594798","0.870918666666667","1.99887649769735","20000","20480000","0","0","1","0","0","","","","","","","","0","","","","","","0","0.533333333333333","0.533333333333333","2","2","9","0.3","0.3","2","2","9","","","","","0","","","","","0","","","","","0","True","","","3"
"single3-final-20260504-synthetic-clean-unary-p16384-c1","unary","synthetic","synthetic","bulk","20000","16384","1","0","0","0","0","500","","","0","0","0","0","0","0","20000","802.793796155441","12.5436530649288","24.9698872796667","0.411768333333333","1.15967266666667","6.84096666666667","43.1118673333333","1.32644172171942","2.22230933333333","3.47424758262684","20000","327680000","0","0","1","0","0","","","","","","","","0","","34.8730769230769","35.05","7","7","8.33333333333333","12.262358974359","51.5","4.6974358974359","7","25.3333333333333","3.43846153846154","34.0666666666667","3.83076923076923","7","25.3333333333333","","","","","0","","","","","0","","","","","0","True","","","3"
"single3-final-20260504-synthetic-clean-unary-p16384-c16","unary","synthetic","synthetic","bulk","20000","16384","16","0","0","0","0","500","","","0","0","0","0","0","0","20000","3717.35045644095","58.0836008818899","5.514233682","1.13250466666667","15.0752716666667","38.364581","55.2186196666667","0.325206641782089","0.92186","2.29528202019424","20000","327680000","0","0","1","0","0","","","","","","","","0","","","","","","0","0.166666666666667","0.166666666666667","3","3","9.33333333333333","0.466666666666667","0.466666666666667","2","2","9.33333333333333","","","","","0","","","","","0","","","","","0","True","","","3"
"single3-final-20260504-synthetic-clean-unary-p16384-c4","unary","synthetic","synthetic","bulk","20000","16384","4","0","0","0","0","500","","","0","0","0","0","0","0","20000","1982.11647110212","30.9705698609706","10.2363032463333","0.617521333333333","2.01680066666667","22.6338113333333","65.5595696666667","0.561291847209025","1.358666","3.06212190876915","20000","327680000","0","0","1","0","0","","","","","","","","0","","31.3","31.3","7","7","0.666666666666667","3.12970085470085","25.4","2.39529914529915","5.33333333333333","13","2.41211843711844","16.4666666666667","2.78021978021978","7.33333333333333","13","","","","","0","","","","","0","","","","","0","True","","","3"
"single3-final-20260504-synthetic-clean-unary-p16384-c8","unary","synthetic","synthetic","bulk","20000","16384","8","0","0","0","0","500","","","0","0","0","0","0","0","20000","2563.25142442494","40.0508035066397","7.81222385266667","0.744032666666667","3.126592","37.79831","53.3456306666667","0.397320141123724","1.100887","2.69586457929033","20000","327680000","0","0","1","0","0","","","","","","","","0","","","","","","0","0.3","0.3","2.33333333333333","2.33333333333333","10.6666666666667","0.3","0.3","2","2","10.6666666666667","","","","","0","","","","","0","","","","","0","True","","","3"
"single3-final-20260504-synthetic-clean-unary-p256-c1","unary","synthetic","synthetic","bulk","20000","256","1","0","0","0","0","500","","","0","0","0","0","0","0","20000","893.567575700894","0.218156146411351","22.4774409136667","0.363885666666667","1.027127","3.86825633333333","45.6289243333333","1.19956831698252","2.010438","3.32532863001193","20000","5120000","0","0","1","0","0","","","","","","","","0","","32.1380952380952","32.1666666666667","7","7","12","7.98521739130435","25.9","4.18840579710145","7","23.6666666666667","6.96446376811594","25.6333333333333","4.56521739130435","7","23.6666666666667","","","","","0","","","","","0","","","","","0","True","","","3"
"single3-final-20260504-synthetic-clean-unary-p256-c16","unary","synthetic","synthetic","bulk","20000","256","16","0","0","0","0","500","","","0","0","0","0","0","0","20000","6848.18611110988","1.67192043728268","3.09905115266667","0.635565666666667","2.344117","35.8133606666667","53.0584556666667","0.178159230728206","0.626167666666667","1.82688750299903","20000","5120000","0","0","1","0","0","","","","","","","","0","","","","","","0","0.533333333333333","0.533333333333333","2","2","7","0.533333333333333","0.533333333333333","2","2","7","","","","","0","","","","","0","","","","","0","True","","","3"
"single3-final-20260504-synthetic-clean-unary-p256-c4","unary","synthetic","synthetic","bulk","20000","256","4","0","0","0","0","500","","","0","0","0","0","0","0","20000","2930.4615005491","0.715444702282496","6.91740195533333","0.454645666666667","1.33597566666667","11.4465446666667","43.864854","0.397789562644799","1.066675","2.13295599252936","20000","5120000","0","0","1","0","0","","","","","","","","0","","","","","","0","0.3","0.3","2","2","11","0.2","0.2","2.33333333333333","2.33333333333333","11","","","","","0","","","","","0","","","","","0","True","","","3"
"single3-final-20260504-synthetic-clean-unary-p256-c8","unary","synthetic","synthetic","bulk","20000","256","8","0","0","0","0","500","","","0","0","0","0","0","0","20000","5143.61582916366","1.25576558329191","4.11793959033333","0.5439","1.67382833333333","10.573959","53.037511","0.25281441762088","0.947363333333333","1.9590544082531","20000","5120000","0","0","1","0","0","","","","","","","","0","","","","","","0","0","0","2","2","8.33333333333333","0.366666666666667","0.366666666666667","2","2","8.33333333333333","","","","","0","","","","","0","","","","","0","True","","","3"
"single3-final-20260504-synthetic-clean-unary-p4096-c1","unary","synthetic","synthetic","bulk","20000","4096","1","0","0","0","0","500","","","0","0","0","0","0","0","20000","843.382252094843","3.29446192224548","23.9806209243333","0.365667666666667","1.12994633333333","4.43812033333333","132.619144666667","1.26967154061037","2.158005","3.61931550900491","20000","81920000","0","0","1","0","0","","","","","","","","0","","31.08","31.4","7","7","8.33333333333333","13.8154439076758","42.5","4.91561996779388","7.33333333333333","25","5.10699516908211","18.4333333333333","3.94475577026302","7.33333333333333","25","","","","","0","","","","","0","","","","","0","True","","","3"
"single3-final-20260504-synthetic-clean-unary-p4096-c16","unary","synthetic","synthetic","bulk","20000","4096","16","0","0","0","0","500","","","0","0","0","0","0","0","20000","5027.0320910444","19.6368441056422","4.15158378833333","0.719241333333333","3.85533333333333","39.8785383333333","57.3936156666667","0.23155725811291","0.646703666666667","2.13187977026679","20000","81920000","0","0","1","0","0","","","","","","","","0","","","","","","0","0.166666666666667","0.166666666666667","2","2","8","0.333333333333333","0.333333333333333","2.33333333333333","2.33333333333333","8","","","","","0","","","","","0","","","","","0","True","","","3"
"single3-final-20260504-synthetic-clean-unary-p4096-c4","unary","synthetic","synthetic","bulk","20000","4096","4","0","0","0","0","500","","","0","0","0","0","0","0","20000","2292.0784241214","8.95343134422423","8.78346576366667","0.496404333333333","1.55195533333333","11.529404","55.445072","0.463637567595046","1.16111333333333","2.74959318326677","20000","81920000","0","0","1","0","0","","","","","","","","0","","","","","","0","1.45555555555556","11.6","2.13888888888889","3.66666666666667","11.6666666666667","0.166666666666667","0.166666666666667","2","2","11.6666666666667","","","","","0","","","","","0","","","","","0","True","","","3"
"single3-final-20260504-synthetic-clean-unary-p4096-c8","unary","synthetic","synthetic","bulk","20000","4096","8","0","0","0","0","500","","","0","0","0","0","0","0","20000","3907.17848699506","15.2624159648245","5.223626421","0.594806333333333","2.19243866666667","31.7634216666667","59.1235743333333","0.308685442205444","0.982648333333333","2.24732536261378","20000","81920000","0","0","1","0","0","","","","","","","","0","","","","","","0","0","0","2","2","9","0.2","0.2","2","2","9","","","","","0","","","","","0","","","","","0","True","","","3"
