transport,short,payload_bytes,concurrency,rep,sent,received,duplicates,producer_duration_s,sink_duration_s,msg_per_s,mib_per_s
rabbitmq-streams,rmqs,4096,1,2,,20000,0,,2.23885862,8933.123253669319,34.895012709645776
rabbitmq-streams,rmqs,4096,8,1,,20000,0,,1.784668811,11206.561058683734,43.775629135483335
unary,unary,256,16,3,,20000,0,,3.184942816,6279.547594866457,1.5330926745279436
kafka,kafka,1024,1,2,,20000,0,,0.911643533,21938.399468687945,21.42421823114057
kafka,kafka,1024,1,3,,20000,0,,1.024082945,19529.668077813756,19.071941482239996
client-streaming,stream,16384,8,2,,20000,0,,1.3723122220000001,14573.942925941526,227.71785821783635
batched-unary,bunary,4096,16,1,,20000,0,,0.497221891,40223.49048183802,157.12300969467975
batched-unary,bunary,4096,4,2,,20000,0,,0.550470338,36332.56620631937,141.92408674343503
nats-jetstream,nats,4096,4,1,,20000,0,,1.355221329,14757.737036767077,57.647410299871396
unary,unary,1024,16,3,,20000,0,,3.471439297,5761.299071910576,5.626268624912671
rabbitmq-streams,rmqs,16384,4,2,,20000,0,,4.16510072,4801.804648796105,75.02819763743913
unary,unary,4096,16,3,,20000,0,,4.567722213,4378.549979041819,17.103710855632105
batched-unary,bunary,4096,8,2,,20000,0,,0.474623363,42138.675756675715,164.6042021745145
client-streaming,stream,256,4,3,,20000,0,,0.170938817,117000.92671169007,28.56467937297121
kafka,kafka,1024,8,2,,20000,0,,1.113199268,17966.235313765945,17.545151673599555
nats-jetstream,nats,16384,4,1,,20000,0,,3.208869003,6232.725605595561,97.38633758743065
client-streaming,stream,16384,1,1,,20000,0,,1.9937941179999998,10031.125992117106,156.73634362682978
kafka,kafka,256,1,1,,20000,0,,0.876174881,22826.493242049473,5.572874326672235
rabbitmq-streams,rmqs,256,16,2,,20000,0,,0.934087964,21411.259721573715,5.227358330462333
unary,unary,4096,16,1,,20000,0,,3.862151186,5178.461183109158,20.228363996520148
unary,unary,1024,4,3,,20000,0,,7.265004794,2752.9231662059656,2.6884015294980133
nats-jetstream,nats,4096,8,3,,20000,0,,1.18768705,16839.452783458404,65.77911243538439
batched-unary,bunary,256,1,3,,20000,0,,0.43935776,45520.98954619579,11.113522838426707
unary,unary,16384,1,2,,20000,0,,25.436510807,786.2713621278631,12.28549003324786
client-streaming,stream,16384,16,3,,20000,0,,1.512115361,13226.50408549087,206.66412633579483
kafka,kafka,16384,8,1,,20000,0,,4.636285352,4313.798328088758,67.40309887638685
batched-unary,bunary,4096,1,3,,20000,0,,0.776877487,25744.084922877937,100.56283172999194
rabbitmq-streams,rmqs,256,8,3,,20000,0,,0.764696814,26154.156305926495,6.385292066876586
nats-jetstream,nats,1024,8,3,,20000,0,,0.90061983,22206.928310694646,21.68645342841274
kafka,kafka,256,1,3,,20000,0,,1.128095394,17728.99712770213,4.3283684393804025
kafka,kafka,4096,1,3,,20000,0,,1.760227438,11362.168074555375,44.38346904123193
client-streaming,stream,256,16,3,,20000,0,,0.252838682,79101.82034567006,19.311967857829604
client-streaming,stream,16384,4,1,,20000,0,,1.367123508,14629.25615934914,228.5821274898303
rabbitmq-streams,rmqs,16384,1,3,,20000,0,,8.010910743,2496.595036647508,39.009297447617314
kafka,kafka,16384,1,3,,20000,0,,5.131609579,3897.4126328405155,60.897072388133054
rabbitmq-streams,rmqs,16384,16,3,,20000,0,,7.031191988,2844.4679129987653,44.44481114060571
unary,unary,4096,8,1,,20000,0,,5.377505804,3719.1963577469714,14.528110772449107
kafka,kafka,16384,16,3,,20000,0,,36.696666041,545.0086385955237,8.515759978055058
rabbitmq-streams,rmqs,16384,8,2,,20000,0,,4.041719466,4948.388963718345,77.31857755809914
rabbitmq-streams,rmqs,1024,4,2,,20000,0,,1.006749951,19865.90610720576,19.400298932818124
kafka,kafka,16384,4,3,,20000,0,,5.31864586,3760.3556481198016,58.7555570018719
batched-unary,bunary,16384,4,2,,20000,0,,1.581209729,12648.543474778986,197.63349179342165
batched-unary,bunary,256,16,2,,20000,0,,0.161875205,123551.96708476756,30.16405446405458
kafka,kafka,256,16,2,,20000,0,,0.895299844,22338.884714471147,5.453829275993932
nats-jetstream,nats,4096,1,1,,20000,0,,1.825432699,10956.306420366145,42.798071954555255
rabbitmq-streams,rmqs,1024,16,2,,20000,0,,1.042691254,19181.133363568042,18.731575550359416
batched-unary,bunary,4096,4,3,,20000,0,,0.547550827,36526.2894580561,142.68081819553163
kafka,kafka,4096,4,3,,20000,0,,1.748544442,11438.085026379902,44.68001963429649
rabbitmq-streams,rmqs,16384,4,3,,20000,0,,4.24297278,4713.676244701245,73.65119132345696
batched-unary,bunary,16384,1,2,,20000,0,,2.06318623,9693.744417826985,151.46475652854664
unary,unary,256,16,2,,20000,0,,3.042121071,6574.3603009940825,1.6050684328598834
client-streaming,stream,256,8,2,,20000,0,,0.17761708,112601.78356721098,27.490669816213618
batched-unary,bunary,256,8,2,,20000,0,,0.146737803,136297.52927403446,33.27576398291857
batched-unary,bunary,1024,8,2,,20000,0,,0.263664928,75853.85038392364,74.07602576555043
unary,unary,1024,1,3,,20000,0,,18.77309054,1065.354687198989,1.0403854367177627
client-streaming,stream,1024,16,3,,20000,0,,0.261659185,76435.30648465484,74.64385398892074
unary,unary,1024,16,1,,20000,0,,3.634746116,5502.447588281569,5.373483972931219
batched-unary,bunary,256,4,3,,20000,0,,0.432308967,46263.208785118724,11.294728707304376
client-streaming,stream,4096,4,2,,20000,0,,0.524318949,38144.720953047225,149.00281622284072
client-streaming,stream,1024,8,1,,20000,0,,0.358632465,55767.399641301294,54.460351212208295
rabbitmq-streams,rmqs,4096,16,1,,20000,0,,2.415356499,8280.351164840615,32.34512173765865
kafka,kafka,1024,4,3,,20000,0,,1.116612882,17911.310466145955,17.49151412709566
kafka,kafka,4096,8,1,,20000,0,,1.7172877579999999,11646.27180670789,45.49324924495269
unary,unary,256,8,1,,20000,0,,4.494527897,4449.855570670629,1.086390520183259
unary,unary,256,4,1,,20000,0,,6.845728117,2921.5299904087615,0.713264157814639
client-streaming,stream,16384,4,3,,20000,0,,1.474794696,13561.209607170977,211.8939001120465
batched-unary,bunary,1024,8,3,,20000,0,,0.27696526,72211.22244717623,70.51877192107054
kafka,kafka,4096,16,1,,20000,0,,1.8453562,10838.015988457948,42.33599995491386
rabbitmq-streams,rmqs,4096,4,1,,20000,0,,1.899415928,10529.552640457798,41.13106500178827
kafka,kafka,4096,16,3,,20000,0,,1.729495107,11564.068564895917,45.172142831624676
rabbitmq-streams,rmqs,16384,8,1,,20000,0,,4.3217361499999996,4627.769791082688,72.308902985667
nats-jetstream,nats,256,8,1,,20000,0,,0.745268698,26835.95870009289,6.551747729514866
unary,unary,4096,4,1,,20000,0,,10.397502154,1923.538913844403,7.513823882204699
unary,unary,256,8,3,,20000,0,,4.386701052,4559.234778691274,1.1130944283914244
batched-unary,bunary,4096,16,3,,20000,0,,0.516057451,38755.3749320829,151.38818332844883
kafka,kafka,256,16,3,,20000,0,,1.209916422,16530.0673966718,4.035660985515576
client-streaming,stream,256,1,3,,20000,0,,0.215083959,92986.94376366766,22.701890567301675
nats-jetstream,nats,256,1,1,,20000,0,,0.926948417,21576.173639444278,5.267620517442451
nats-jetstream,nats,1024,8,2,,20000,0,,0.914358528,21873.25801373179,21.36060352903495
kafka,kafka,1024,4,1,,20000,0,,1.587351446,12599.604234083396,12.304301009847066
kafka,kafka,1024,1,1,,20000,0,,1.368703719,14612.366228253084,14.269888894778402
client-streaming,stream,256,16,2,,20000,0,,0.257404222,77698.80324651395,18.969434386355946
client-streaming,stream,4096,1,1,,20000,0,,0.879265907,22746.247569451138,88.8525295681685
nats-jetstream,nats,16384,8,3,,20000,1264,,2.956710331,6764.274399932754,105.69178749894928
unary,unary,4096,4,3,,20000,0,,7.681166978,2603.7710229816594,10.170980558522107
kafka,kafka,4096,16,2,,20000,0,,3.540702155,5648.597121267886,22.06483250495268
batched-unary,bunary,4096,1,1,,20000,0,,0.775636089,25785.2880798588,100.72378156194844
client-streaming,stream,1024,1,3,,20000,0,,0.286225963,69874.86316885935,68.2371710633392
batched-unary,bunary,1024,4,1,,20000,0,,0.249852434,80047.24900938927,78.17114161073171
unary,unary,1024,16,2,,20000,0,,3.562061945,5614.725490126197,5.483130361451364
kafka,kafka,4096,4,1,,20000,0,,1.714576339,11664.689139280139,45.56519195031304
kafka,kafka,16384,8,3,,20000,0,,5.379540515,3717.7896409987347,58.09046314060523
unary,unary,4096,4,2,,20000,0,,7.9268629950000005,2523.0661880513553,9.855727297075607
batched-unary,bunary,4096,4,1,,20000,0,,0.525733878,38042.06051183941,148.6017988743727
kafka,kafka,4096,1,2,,20000,0,,1.874963095,10666.876619243538,41.66748679392007
batched-unary,bunary,256,8,3,,20000,0,,0.223834242,89351.83384497534,21.81441255980843
batched-unary,bunary,4096,8,1,,20000,0,,0.438754662,45583.561229487284,178.0607860526847
client-streaming,stream,256,1,2,,20000,0,,0.182407854,109644.40160564578,26.768652735753363
nats-jetstream,nats,4096,8,1,,20000,0,,1.251270575,15983.753154268812,62.43653575886255
nats-jetstream,nats,16384,1,2,,20000,0,,3.353708226,5963.548004846621,93.18043757572845
rabbitmq-streams,rmqs,16384,1,1,,20000,0,,5.620674659,3558.2917022203687,55.59830784719326
kafka,kafka,4096,4,2,,20000,0,,1.7980472459999999,11123.178239333096,43.449914997394906
unary,unary,256,16,1,,20000,0,,3.121107657,6407.9814597693,1.5644485985764893
client-streaming,stream,4096,4,1,,20000,0,,0.622242666,32141.8010895447,125.55391050603399
nats-jetstream,nats,16384,16,1,,20000,541,,3.462413637,5776.317360316589,90.2549587549467
nats-jetstream,nats,4096,4,2,,20000,0,,1.793334392,11152.409773224268,43.5641006766573
batched-unary,bunary,16384,16,3,,20000,0,,1.610812591,12416.093660891927,194.00146345143636
unary,unary,1024,4,2,,20000,0,,7.289061336,2743.837522840129,2.6795288308985636
batched-unary,bunary,1024,16,2,,20000,0,,0.252464484,79219.06354162672,77.36236673986984
rabbitmq-streams,rmqs,4096,1,3,,20000,0,,2.281786198,8765.063097291993,34.23852772379685
kafka,kafka,256,8,3,,20000,0,,1.193563932,16756.538517787583,4.090951786569234
nats-jetstream,nats,256,1,3,,20000,0,,0.908552323,22013.041509773346,5.374277712347008
nats-jetstream,nats,256,4,1,,20000,0,,0.806538468,24797.329319697124,6.054035478441681
batched-unary,bunary,16384,8,3,,20000,0,,1.585382463,12615.25244965448,197.11331952585124
batched-unary,bunary,256,8,1,,20000,0,,0.172718593,115795.29251954942,28.27033508778062
client-streaming,stream,4096,8,2,,20000,0,,0.608682907,32857.83085083412,128.3509017610708
nats-jetstream,nats,1024,1,1,,20000,0,,1.2753089659999999,15682.474234247642,15.314916244382463
unary,unary,256,4,2,,20000,0,,7.13058086,2804.8205879261286,0.6847706513491525
rabbitmq-streams,rmqs,1024,4,3,,20000,0,,1.00129466,19974.140279545685,19.505996366743833
rabbitmq-streams,rmqs,1024,8,2,,20000,0,,1.043727036,19162.098240406223,18.712986562896702
nats-jetstream,nats,1024,16,3,,20000,0,,0.846530034,23625.85991839718,23.072128826559744
rabbitmq-streams,rmqs,4096,4,2,,20000,0,,1.984439911,10078.410482039535,39.368790945466934
rabbitmq-streams,rmqs,256,4,1,,20000,0,,0.756695934,26430.695740992312,6.452806577390701
kafka,kafka,16384,4,1,,20000,9,,5.316488769,3761.8813598588454,58.77939624779446
nats-jetstream,nats,16384,16,2,,20000,3274,,4.534477937,4410.6510777802905,68.91642309031704
unary,unary,16384,8,3,,20000,0,,9.440811141,2118.462036926367,33.100969326974486
rabbitmq-streams,rmqs,16384,1,2,,20000,0,,5.345474141,3741.482882986787,58.46067004666855
nats-jetstream,nats,16384,8,1,,20000,1650,,2.766848409,7228.440826372718,112.94438791207372
client-streaming,stream,1024,4,3,,20000,0,,0.353991938,56498.46183785123,55.17427913852659
batched-unary,bunary,16384,8,2,,20000,0,,1.453392281,13760.909742990441,215.01421473422565
client-streaming,stream,4096,4,3,,20000,0,,0.594082876,33665.33661879189,131.5052211671558
kafka,kafka,16384,8,2,,20000,0,,4.910355485,4073.0248677708514,63.64101355891955
nats-jetstream,nats,16384,1,1,,20000,0,,3.553866357,5627.673635111879,87.93240054862311
nats-jetstream,nats,1024,4,1,,20000,0,,0.938845554,21302.75838745677,20.803474987750754
unary,unary,16384,4,3,,20000,0,,9.099176318,2198.001148789257,34.34376794983214
nats-jetstream,nats,1024,8,1,,20000,0,,1.4447814270000001,13842.924352598284,13.518480813084262
unary,unary,16384,8,1,,20000,0,,9.512255592,2102.5507364226423,32.852355256603786
nats-jetstream,nats,16384,16,3,,20000,2254,,4.502835414,4441.6457989596865,69.4007156087451
unary,unary,256,1,3,,20000,0,,23.255447053,860.0135681941216,0.20996425004739297
unary,unary,4096,8,2,,20000,0,,5.203096079,3843.8652095472867,15.015098474794089
batched-unary,bunary,256,4,1,,20000,0,,0.199171485,100415.98073137828,24.51562029574665
client-streaming,stream,4096,1,2,,20000,0,,0.610143854,32779.15506135705,128.04357445842598
nats-jetstream,nats,1024,16,1,,20000,0,,0.968855248,20642.918579721623,20.159100175509398
rabbitmq-streams,rmqs,1024,16,1,,20000,0,,1.066571515,18751.67273710662,18.312180407330683
unary,unary,1024,8,1,,20000,0,,4.825722291,4144.457304826703,4.047321586744827
client-streaming,stream,4096,8,3,,20000,0,,0.736098016,27170.294669018644,106.13396355085408
rabbitmq-streams,rmqs,4096,16,2,,20000,0,,1.885843152,10605.335856690588,41.42709319019761
kafka,kafka,256,8,1,,20000,0,,1.293680124,15459.772187085098,3.774358444112573
client-streaming,stream,16384,8,1,,20000,0,,1.409816594,14186.242441121387,221.66003814252167
rabbitmq-streams,rmqs,4096,16,3,,20000,0,,1.805969932,11074.381497509894,43.25930272464802
rabbitmq-streams,rmqs,1024,1,2,,20000,0,,1.205749739,16587.189989016453,16.19842772364888
rabbitmq-streams,rmqs,1024,8,1,,20000,0,,1.155216012,17312.779421551164,16.90701115385856
nats-jetstream,nats,1024,4,3,,20000,0,,0.99845481,20030.9516261432,19.56147619740547
nats-jetstream,nats,256,16,3,,20000,0,,0.776531066,25755.569706981947,6.287980885493639
rabbitmq-streams,rmqs,256,4,2,,20000,0,,0.772523246,25889.188582423576,6.320602681255756
client-streaming,stream,256,4,1,,20000,0,,0.250094444,79969.78933286498,19.52387434884399
nats-jetstream,nats,256,16,1,,20000,0,,0.695971786,28736.797097691546,7.0158196039286
kafka,kafka,1024,16,1,,20000,0,,3.984843356,5019.017866759027,4.901384635506862
batched-unary,bunary,256,4,2,,20000,0,,0.227859204,87773.50069212037,21.4290773174122
nats-jetstream,nats,1024,1,2,,20000,0,,1.119989461,17857.310891249537,17.438780167235876
nats-jetstream,nats,4096,4,3,,20000,0,,1.268601002,15765.398236694755,61.583586862088886
client-streaming,stream,1024,4,2,,20000,0,,0.20120858,99399.33972994592,97.06966770502531
client-streaming,stream,4096,8,1,,20000,0,,0.708096906,28244.721634188303,110.33094388354806
unary,unary,16384,16,2,,20000,0,,5.219391917,3831.864002175869,59.87287503399795
batched-unary,bunary,1024,1,2,,20000,0,,0.47270434,42309.744818505365,41.318110174321646
rabbitmq-streams,rmqs,1024,4,1,,20000,0,,1.60127541,12490.043795776519,12.197308394313007
batched-unary,bunary,1024,8,1,,20000,0,,0.262304818,76247.16980989651,74.46012676747706
batched-unary,bunary,256,16,3,,20000,0,,0.164334807,121702.76258029744,29.71258852058043
client-streaming,stream,1024,1,2,,20000,0,,0.217659798,91886.51365007699,89.73292348640331
unary,unary,4096,1,2,,20000,0,,21.462766828,931.8463066890474,3.6400246355040915
unary,unary,1024,8,2,,20000,0,,4.7894019310000004,4175.8867366189315,4.078014391229425
kafka,kafka,4096,8,3,,20000,0,,1.726730702,11582.58203021168,45.24446105551438
rabbitmq-streams,rmqs,256,4,3,,20000,0,,0.723708426,27635.438916390343,6.746933329196861
client-streaming,stream,16384,16,2,,20000,0,,1.448609848,13806.339938674779,215.72406154179342
batched-unary,bunary,256,1,2,,20000,0,,0.400082596,49989.67763146588,12.2045111404946
unary,unary,16384,1,3,,20000,0,,25.663443696,779.3186384848761,12.17685372632619
nats-jetstream,nats,256,8,3,,20000,0,,0.781002002,25608.128978906254,6.251984613990785
rabbitmq-streams,rmqs,4096,4,3,,20000,0,,1.8835499310000001,10618.247847234796,41.47753065326092
batched-unary,bunary,4096,16,2,,20000,0,,0.444897479,44954.176959946315,175.6022537497903
nats-jetstream,nats,256,8,2,,20000,0,,0.802797591,24912.879939122788,6.082246078887399
batched-unary,bunary,1024,1,3,,20000,0,,0.484751999,41258.21046897839,40.29122116111171
rabbitmq-streams,rmqs,256,1,2,,20000,0,,0.908996282,22002.290213987915,5.371652884274393
rabbitmq-streams,rmqs,1024,16,3,,20000,0,,1.120635735,17847.01252633176,17.42872317024586
nats-jetstream,nats,4096,1,3,,20000,0,,1.683840617,11877.60872263126,46.39690907277836
rabbitmq-streams,rmqs,256,8,2,,20000,0,,0.796053602,25123.936315032213,6.1337735144121615
unary,unary,16384,4,1,,20000,0,,9.907121097,2018.7499278732196,31.542967623019056
rabbitmq-streams,rmqs,256,1,3,,20000,0,,0.892529296,22408.228043194675,5.470758799608075
client-streaming,stream,16384,8,3,,20000,0,,1.368665767,14612.77141740625,228.32455339697265
unary,unary,4096,1,1,,20000,0,,19.517028645,1024.746151875108,4.00291465576214
client-streaming,stream,16384,1,3,,20000,0,,1.827158206,10945.959651618696,171.03061955654212
client-streaming,stream,1024,16,1,,20000,0,,0.337002157,59346.80115415403,57.95586050210355
unary,unary,256,1,2,,20000,0,,23.059728395,867.3129040121984,0.21174631445610312
client-streaming,stream,4096,1,3,,20000,0,,0.637837227,31355.962232038237,122.48422746889936
batched-unary,bunary,1024,1,1,,20000,0,,0.642452361,31130.712896547357,30.401086813034528
nats-jetstream,nats,1024,4,2,,20000,0,,0.974992473,20512.97887301741,20.032205930681066
unary,unary,1024,1,2,,20000,0,,22.621700902,884.1068179020874,0.8633855643575072
unary,unary,4096,1,3,,20000,0,,19.949406639,1002.5360834994005,3.9161565761695334
batched-unary,bunary,1024,16,1,,20000,0,,0.262821654,76097.2305577226,74.31370171652598
nats-jetstream,nats,4096,16,3,,20000,1176,,1.9510323710000002,10250.98317038636,40.04290300932172
rabbitmq-streams,rmqs,256,16,3,,20000,0,,0.904415067,22113.74039393353,5.398862400862678
rabbitmq-streams,rmqs,16384,8,3,,20000,0,,7.438116469,2688.852760420523,42.01332438157067
nats-jetstream,nats,16384,8,2,,20000,1495,,2.9865652860000003,6696.655885526153,104.63524821134614
nats-jetstream,nats,4096,8,2,,20000,0,,1.151938895,17362.032037298297,67.82043764569647
unary,unary,1024,1,1,,20000,0,,19.531963915,1023.9625716613455,0.9999634488880327
nats-jetstream,nats,1024,1,3,,20000,0,,1.091711141,18319.864338546675,17.890492518111987
batched-unary,bunary,16384,8,1,,20000,0,,1.445118956,13839.691131973499,216.24517393708592
kafka,kafka,1024,16,3,,20000,0,,1.480873895,13505.538903432422,13.189002835383224
unary,unary,256,8,2,,20000,0,,4.357043922,4590.268163011647,1.1206709382352653
rabbitmq-streams,rmqs,4096,8,3,,20000,0,,1.821877913,10977.683991495867,42.88157809178073
batched-unary,bunary,4096,8,3,,20000,0,,0.577607914,34625.5643581781,135.2561107741332
client-streaming,stream,4096,16,1,,20000,0,,0.833546972,23993.84878336526,93.72597181002055
unary,unary,4096,16,2,,20000,0,,3.8554821820000003,5187.4186044416265,20.263353923600103
unary,unary,16384,4,2,,20000,0,,9.301791942,2150.1233444810587,33.59567725751654
batched-unary,bunary,256,16,1,,20000,0,,0.172914768,115663.92062012888,28.23826187014865
batched-unary,bunary,1024,4,2,,20000,0,,0.248364261,80526.88385789935,78.63953501747983
kafka,kafka,256,4,1,,20000,0,,1.174982574,17021.52903588509,4.1556467372766335
unary,unary,4096,8,3,,20000,0,,5.130773638,3898.047626165807,15.226748539710183
rabbitmq-streams,rmqs,16384,16,2,,20000,0,,4.223712514,4735.170761198261,73.98704314372283
kafka,kafka,1024,8,1,,20000,0,,1.090311428,18343.382896285668,17.913459859653972
kafka,kafka,16384,4,2,,20000,0,,5.583600129,3581.9183927810964,55.96747488720463
unary,unary,1024,8,3,,20000,0,,4.839705474,4132.482876787556,4.035627809362848
client-streaming,stream,256,8,1,,20000,0,,0.19843849,100786.89875134607,24.60617645296535
rabbitmq-streams,rmqs,4096,8,2,,20000,0,,4.56327823,4382.814063038186,17.120367433742913
kafka,kafka,256,8,2,,20000,0,,1.18832159,16830.460851931504,4.10899923142859
kafka,kafka,16384,1,1,,20000,0,,11.617104875,1721.5993326392345,26.89998957248804
kafka,kafka,4096,8,2,,20000,0,,1.678360482,11916.391153447094,46.54840294315271
unary,unary,16384,16,3,,20000,0,,5.291163328,3779.887098582492,59.06073591535144
unary,unary,16384,16,1,,20000,0,,5.265924883,3798.003284202943,59.34380131567099
nats-jetstream,nats,4096,16,1,,20000,640,,1.984809158,10076.535529568531,39.361466912377075
nats-jetstream,nats,1024,16,2,,20000,0,,0.841069517,23779.24725097367,23.221921143528974
client-streaming,stream,256,4,2,,20000,0,,0.347796135,57504.951859226385,14.039294887506442
client-streaming,stream,4096,16,3,,20000,0,,0.643015492,31103.449681737995,121.49785031928904
client-streaming,stream,256,8,3,,20000,0,,0.124112874,161143.63768580527,39.34170841938605
kafka,kafka,256,1,2,,20000,0,,0.717364485,27879.83015356552,6.806599158585332
nats-jetstream,nats,4096,16,2,,20000,892,,1.959031601,10209.125768972219,39.87939753504773
rabbitmq-streams,rmqs,256,16,1,,20000,0,,1.06091565,18851.640090331402,4.602451193928565
kafka,kafka,256,4,3,,20000,0,,1.055987187,18939.62374374908,4.623931578063741
client-streaming,stream,1024,1,1,,20000,0,,0.33552801,59607.54215423029,58.210490384990514
rabbitmq-streams,rmqs,1024,1,3,,20000,0,,1.269908401,15749.167407862515,15.380046296740737
rabbitmq-streams,rmqs,16384,4,1,,20000,0,,4.303136091,4647.77306063593,72.6214540724364
batched-unary,bunary,16384,4,3,,20000,0,,1.577065046,12681.785098672462,198.15289216675723
rabbitmq-streams,rmqs,256,1,1,,20000,0,,0.911392815,21944.434574020645,5.357527972173009
unary,unary,16384,8,2,,20000,0,,9.435290966,2119.7014561681085,33.120335252626695
nats-jetstream,nats,16384,4,2,,20000,0,,2.552281561,7836.126039387235,122.43946936542555
kafka,kafka,16384,16,1,,20000,6,,4.919100268,4065.7841699436567,63.527877655369636
kafka,kafka,256,16,1,,20000,0,,1.379034946,14502.895708344146,3.5407460225449574
batched-unary,bunary,1024,4,3,,20000,0,,0.266080803,75165.13696029398,73.40345406278709
batched-unary,bunary,16384,1,3,,20000,0,,2.063945076,9690.180340826086,151.4090678254076
client-streaming,stream,4096,16,2,,20000,0,,0.628882886,31802.423702781445,124.22821758899002
batched-unary,bunary,16384,16,2,,20000,0,,1.5329792150000001,13046.491305493662,203.85142664833847
kafka,kafka,16384,16,2,,20000,0,,4.559618754,4386.3316384631225,68.53643185098629
kafka,kafka,1024,16,2,,20000,0,,0.98279773,20350.06735312667,19.873112649537763
batched-unary,bunary,1024,16,3,,20000,0,,0.258411769,77395.85575918564,75.58189038982972
unary,unary,16384,1,1,,20000,0,,25.460254106,785.538114298976,12.2740330359215
